c_id,semester,course_year,s_id,grade,ex_grade,moedAgrade,moedBgrade
79495,1,2015,4927956,84.1,96,53,82
65621,2,2011,7362701,83.4,69,93,-1
66390,1,2009,7487570,74.0,85,51,74
94050,1,2015,4346708,53.449999999999996,100,63,51
81573,1,2010,2183317,67.3,64,54,70
27266,2,2014,9596102,61.099999999999994,73,56,-1
58088,2,2010,7446996,77.75,80,54,77
62360,1,2009,7881453,63.6,84,60,-1
79651,1,2009,8395811,81.24999999999999,67,55,82
52126,1,2010,8132516,88.25,93,54,88
81573,2,2018,8791611,73.95,80,69,-1
81445,2,2017,1025404,67.39999999999999,98,62,-1
21415,1,2010,4837537,73.5,99,65,-1
92893,1,2020,6846640,64.85000000000001,83,50,-1
68669,1,2014,3692260,74.3,80,42,74
88812,2,2006,3189607,77.80000000000001,97,73,-1
68669,1,2020,5686370,91.20000000000002,88,92,-1
98403,1,2010,5819381,67.2,60,68,-1
14246,2,2012,4927956,77.5,78,77,-1
40667,2,2011,9607941,79.15,83,76,-1
58076,1,2018,2719573,67.5,75,65,-1
30041,2,2001,5509649,72.89999999999999,81,72,-1
84976,2,2016,6486741,98.0,94,57,98
48117,1,2015,9969591,95.75,99,94,-1
37987,1,2002,9361674,77.15,78,77,-1
71661,1,2014,4595547,70.2,81,69,-1
90922,2,2006,5372725,83.2,86,41,82
25853,2,2001,4290437,85.0,65,85,-1
30041,2,2015,4349551,88.75,92,87,-1
30041,2,2001,7685451,96.7,94,97,-1
67318,1,2008,9166906,92.00000000000001,74,94,-1
82740,1,2007,4492818,62.0,62,62,-1
62360,1,2009,2721648,62.849999999999994,62,63,-1
99478,1,2010,1782881,80.0,64,50,80
45939,1,2010,2346030,82.35,89,82,-1
10892,2,2004,8888748,92.5,83,93,-1
42713,2,2000,2604650,95.0,96,95,-1
81573,2,2018,5593833,83.10000000000001,71,93,-1
72316,2,2015,3741868,77.6,86,72,-1
62360,1,2009,7165558,94.1,89,95,-1
40439,1,2018,4890765,79.0,82,76,-1
50892,1,2008,7799637,71.2,100,64,-1
68318,2,2011,2110150,71.74999999999999,67,72,-1
88949,1,2011,2105014,87.29999999999998,67,96,-1
21323,2,2007,2491115,99.85,97,53,100
39008,2,2002,9624789,72.85,80,46,69
41712,1,2010,3211256,67.0,70,67,-1
81927,2,2006,8739288,81.65,91,80,-1
51050,1,2009,5578043,87.1,99,51,85
30429,1,2016,1816716,71.0,83,68,-1
22316,2,2012,6324547,96.0,94,98,-1
56562,2,2003,6538400,92.2,67,95,-1
90922,2,2006,4691903,75.8,73,50,77
68669,1,2020,9299120,89.0,65,95,-1
20002,2,2010,3389922,71.3,72,71,-1
74410,2,2001,7837649,82.05000000000001,65,96,-1
56193,2,2007,5437711,89.39999999999999,67,99,-1
39024,2,2019,8865503,95.2,84,100,-1
71634,2,2003,9596102,74.25,75,52,74
35962,1,2014,7845646,72.65,71,74,-1
50593,1,2008,9580953,71.25,84,69,-1
84269,1,2015,5645833,84.8,61,50,95
56193,2,2007,4912665,74.89999999999999,91,68,-1
51955,2,2017,9217830,69.4,70,69,-1
15588,2,2007,6210520,70.5,67,45,74
30429,1,2004,8030661,69.80000000000001,83,59,-1
76309,2,2014,2178373,77.15,95,74,-1
33073,1,2000,1336012,88.80000000000001,93,86,-1
66390,1,2019,7830277,84.1,82,85,-1
51050,1,2009,8739288,56.49999999999999,82,53,52
84597,1,2009,1498256,90.5,97,84,-1
63891,1,2015,8739288,96.55000000000001,96,97,-1
29313,1,2017,6324172,67.8,79,63,-1
29684,2,2020,9709142,59.05,65,64,58
43284,1,2006,3042995,78.35,80,77,-1
85553,1,2006,8395811,77.5,60,95,-1
44919,2,2009,8395811,92.8,100,88,-1
14390,1,2006,7752485,86.74999999999999,74,89,-1
78676,1,2006,6417666,90.0,94,56,90
35497,1,2016,3383775,67.0,67,67,-1
30041,2,2001,3202595,82.30000000000001,94,81,-1
63891,1,2015,6553920,75.85,83,70,-1
55150,1,2010,8061361,72.55000000000001,83,64,-1
31595,1,2010,6417666,90.5,97,84,-1
66081,2,2000,5716175,69.15,62,75,-1
82459,1,2014,6324547,93.0,99,87,-1
15282,2,2000,3188492,84.0,64,84,-1
74410,2,2001,6032435,66.55,77,58,-1
67291,1,2005,2901484,64.0,91,55,-1
22316,1,2001,9700747,72.3,97,59,-1
79651,1,2009,9157779,62.85,79,62,-1
92048,1,2004,9115639,77.0,88,66,-1
54012,1,2000,9495706,82.2,71,43,87
79007,2,2017,8366982,98.0,98,98,-1
78676,1,2006,2491115,68.0,61,68,-1
40048,1,2020,9010135,81.0,92,72,-1
58088,1,2004,8926520,84.8,60,66,91
25826,2,2006,9016523,84.80000000000001,74,86,-1
39008,1,2002,3399581,89.4,93,87,-1
15282,2,2000,1595638,58.0,63,42,58
26827,2,2019,9525773,67.89999999999999,91,58,-1
40667,2,2011,9633690,69.55000000000001,80,61,-1
18548,1,2003,9217847,57.699999999999996,71,53,57
29313,1,2013,1919142,82.75,78,58,83
86184,1,2006,5509649,73.0,61,63,85
89114,2,2015,9701218,70.4,60,73,-1
52778,2,2017,1531264,89.45,98,52,89
65715,1,2006,3770315,75.80000000000001,74,76,-1
38064,2,2000,3704145,67.85,65,68,-1
52012,2,2007,3268717,83.95000000000002,79,88,-1
15402,2,2007,9612777,90.8,94,41,90
57266,1,2017,2604650,61.7,86,59,-1
39024,2,2019,9700747,71.4,63,75,-1
63136,1,2014,4317085,91.8,88,92,-1
40439,1,2014,3480308,75.95,74,77,-1
69221,1,2006,7594001,88.7,83,46,89
88812,1,2013,6277745,61.2,63,60,-1
74802,1,2010,2749415,73.0,73,73,-1
58517,2,2005,3820328,80.0,68,65,80
48540,2,2008,1169100,78.75,90,42,75
49883,1,2009,4927956,80.2,61,93,-1
71634,2,2003,9537784,95.75,89,98,-1
22316,1,2001,7114608,86.35,87,86,-1
37987,1,2002,4571258,91.3,76,94,-1
95578,2,2020,2500070,95.0,75,44,95
88812,2,2005,2119141,82.6,80,84,-1
81573,2,2018,2854236,89.9,80,98,-1
88430,1,2000,9624789,61.0,64,58,-1
50491,2,2002,9722941,99.7,97,59,100
89114,2,2015,1172472,67.4,81,41,64
26838,2,2010,1696551,95.4,81,99,-1
89372,1,2020,4542873,82.6,88,79,-1
62360,1,2009,2810753,86.35,60,43,91
73747,1,2002,6330466,76.44999999999999,68,46,81
80245,1,2015,7817819,85.6,89,56,85
81927,2,2006,4645172,64.75,69,54,64
51050,2,2011,2025699,84.60000000000001,91,83,-1
84269,2,2019,7173567,68.05000000000001,70,45,67
74023,1,2010,3692260,78.25,61,84,-1
65723,1,2013,6828858,65.6,74,46,60
62574,1,2005,3395786,72.2,92,56,-1
46361,1,2015,2491115,87.5,86,88,-1
56193,2,2007,7864387,89.4,95,87,-1
83034,2,2006,8318103,84.6,95,79,-1
82173,2,2015,6681389,97.60000000000001,94,98,-1
95936,2,2018,4816106,95.8,86,100,-1
89372,1,2020,3216027,70.4,80,64,-1
71661,1,2014,7105471,78.0,60,46,80
88812,2,2005,5559825,67.45,85,58,-1
85553,1,2002,3134884,78.8,80,43,78
90944,1,2009,9260588,85.0,75,85,-1
68669,1,2014,9470593,75.15,78,53,75
21323,1,2008,5022054,88.89999999999999,94,88,-1
21323,2,2007,3996386,68.7,63,50,69
80245,2,2008,5969230,67.0,64,48,70
74802,1,2010,6759229,57.0,60,43,56
92048,1,2004,7437982,72.0,88,56,-1
36844,2,2015,5509649,62.5,76,61,-1
42011,1,2014,2019687,86.65,96,79,-1
55129,1,2008,5492819,87.75,81,90,-1
50195,2,2004,7042000,78.0,65,85,-1
44919,1,2015,7637046,79.89999999999999,82,79,-1
39008,1,2002,3322475,69.2,89,56,-1
12899,2,2010,7571892,85.80000000000001,73,89,-1
52012,2,2007,2810753,66.1,65,67,-1
65998,1,2006,1286679,62.35000000000001,86,43,-1
65715,1,2006,3307607,66.80000000000001,65,67,-1
51955,1,2006,8673742,96.0,90,41,96
25826,1,2017,1427571,93.3,61,56,95
18282,2,2013,9090837,77.8,89,73,-1
48271,1,2014,2270555,61.0,67,61,-1
28155,1,2008,3678353,70.80000000000001,62,73,-1
33230,1,2000,2331057,89.25,69,58,96
62574,2,2017,7427872,55.0,96,58,55
90922,2,2006,9580953,65.6,60,41,68
80229,2,2001,8765515,74.4,96,56,69
47244,1,2007,9633690,72.1,82,71,-1
94296,2,2012,8772088,62.1,81,56,60
50491,2,2002,8389090,96.2,80,98,-1
18282,2,2013,7042000,63.5,95,50,-1
46361,2,2006,5907258,89.15,82,95,-1
81445,1,2013,7211341,60.099999999999994,100,43,-1
89372,2,2019,8637754,74.4,99,58,-1
44919,1,2015,6684108,85.5,96,81,-1
45463,2,2018,4336480,79.75,70,83,-1
33402,2,2019,3731108,100.0,84,100,-1
28155,1,2016,7348825,76.05000000000001,92,63,-1
39194,2,2019,5686440,69.2,66,70,-1
89786,2,2018,5554436,69.6,88,65,-1
66081,1,2006,2099207,100.0,67,42,100
56193,2,2007,7027817,66.1,92,55,-1
74023,1,2002,6203236,72.0,90,72,-1
73554,2,2004,4363088,77.0,71,46,83
62977,2,2008,2822184,73.10000000000001,61,83,-1
55150,1,2010,8863493,76.65,64,45,87
52012,2,2007,7845646,88.30000000000001,85,91,-1
18282,2,2018,7401631,66.64999999999999,79,66,-1
21591,2,2002,7506163,73.5,96,43,71
66081,1,2006,2325546,80.0,61,80,-1
30041,2,2001,9013600,92.5,97,92,-1
82173,2,2010,5448518,93.10000000000001,71,44,97
65998,1,2006,6782934,82.85000000000001,79,86,-1
65674,1,2002,9581098,74.0,83,71,-1
56193,2,2007,8719419,77.0,70,80,-1
46361,1,2015,9472635,90.5,68,43,98
25853,1,2016,8314205,65.0,62,66,-1
73747,1,2002,5771668,86.6,97,81,-1
37396,2,2012,5376448,79.4,93,76,-1
82598,1,2012,6878362,89.0,71,41,89
62360,1,2009,6981486,71.85,71,72,-1
79495,1,2009,4317085,77.4,93,67,-1
30041,2,2001,8132516,65.9,83,64,-1
43284,2,2000,7711049,85.1,80,86,-1
30041,2,2001,1504850,88.10000000000001,89,88,-1
52126,1,2005,2011250,75.8,79,75,-1
77791,2,2020,4759896,83.85,65,94,-1
26406,2,2008,3953781,75.25,71,76,-1
13876,2,2006,7348825,63.0,69,42,59
58088,2,2010,3307607,74.0,62,78,-1
60330,2,2007,5623380,74.55,85,56,74
21192,2,2017,8739288,65.75,69,64,-1
76309,2,2014,9439696,92.85,92,48,93
48271,1,2014,6072169,66.0,94,66,-1
83034,2,2006,5357468,74.1,65,41,79
95578,2,2003,2270555,88.9,79,90,-1
36370,1,2016,8316948,58.8,60,52,58
82740,1,2007,4333707,92.0,76,92,-1
79638,2,2006,6418055,84.0,62,84,-1
20002,2,2003,5249247,86.0,80,92,-1
94121,1,2007,4756658,94.0,77,45,97
72305,2,2006,2178373,62.95,80,49,-1
51955,2,2017,8566038,69.8,74,67,-1
37060,2,2019,7344424,97.5,88,98,-1
20107,1,2005,1403806,74.2,75,74,-1
99478,1,2010,1736458,80.0,97,80,-1
30429,1,2004,9516856,88.6,82,94,-1
40667,2,2011,4977298,78.30000000000001,75,81,-1
76309,1,2014,9599105,82.89999999999999,81,54,83
96268,2,2016,4254724,86.0,83,88,-1
94050,1,2015,7454057,56.5,85,44,55
78676,1,2006,6811430,90.0,99,53,90
81927,2,2006,6914548,82.45,72,91,-1
82598,1,2012,7437982,67.0,84,67,-1
68669,1,2004,6548677,75.9,85,72,-1
74023,1,2010,1172472,63.75,72,61,-1
40385,1,2018,3371976,53.0,73,40,53
25603,1,2001,3202595,89.6,84,92,-1
71634,1,2018,1731592,94.0,70,94,-1
99929,2,2020,6682420,66.2,91,60,-1
96744,2,2010,7368825,67.5,78,64,-1
16301,1,2011,9691795,97.4,91,48,99
15282,2,2000,8060246,82.0,95,53,82
52861,1,2019,2599610,87.6,72,98,-1
83995,1,2001,1524928,71.8,82,70,-1
58088,1,2004,9095102,59.400000000000006,73,53,56
28155,1,2016,5249247,82.4,67,95,-1
92893,1,2020,5022054,91.35,82,99,-1
21192,2,2017,7637046,82.15,75,86,-1
65715,1,2016,2397551,91.0,85,91,-1
14390,1,2006,9378657,88.75,76,52,91
64142,2,2007,7752485,87.5,95,85,-1
79651,2,2008,1071369,54.9,60,52,54
48271,1,2001,8203254,95.80000000000001,67,41,99
37060,1,2005,9217847,66.85,66,60,67
50593,1,2008,1844386,62.6,100,56,-1
51050,1,2015,7341837,89.50000000000001,94,40,89
81573,2,2018,7348825,69.5,64,74,-1
28155,1,2016,3539161,66.75,75,60,-1
79651,1,2009,4180768,67.15,70,67,-1
47465,2,2013,5296310,75.75,87,72,-1
50593,1,2018,3308066,60.099999999999994,65,58,-1
21591,2,2002,9687991,75.3,78,75,-1
69221,1,2006,5771843,66.55,96,65,-1
82173,2,2005,7441403,65.75,96,41,-1
25826,2,2006,7982453,74.10000000000001,84,73,-1
74023,1,2002,1761574,67.0,81,67,-1
28155,1,2008,5956531,63.0,79,59,-1
35962,1,2014,1706100,67.5,62,46,72
53872,1,2004,6072169,96.89999999999999,76,48,98
35497,2,2002,3032991,77.80000000000001,85,76,-1
90922,2,2006,2842647,65.1,70,44,63
51050,1,2009,4895564,98.0,98,98,-1
88812,2,2005,1761574,82.1,99,73,-1
47465,2,2016,8620836,92.4,99,87,-1
69914,1,2018,2211524,78.35,85,46,78
28886,1,2006,6997454,76.80000000000001,90,66,-1
84976,2,2016,4391730,98.0,100,42,98
74984,1,2017,3731108,61.0,65,57,-1
40439,1,2014,9599360,69.85,77,66,-1
37478,1,2002,5974864,67.39999999999999,94,66,-1
89372,2,2019,6032435,75.4,73,77,-1
62977,2,2008,6886206,65.15,80,53,-1
92623,2,2005,5686370,77.25,61,86,-1
78834,2,2019,9537784,75.95,82,71,-1
51399,2,2000,6757916,77.5,85,75,-1
51050,1,2009,8489445,76.55,91,74,-1
30429,1,2016,9011057,95.6,78,48,100
85305,2,2018,2896788,95.6,83,97,-1
92893,2,2015,6302531,80.4,63,92,-1
86959,1,2004,7237483,60.150000000000006,66,61,57
56562,2,2003,5037932,63.5,68,63,-1
37713,2,2018,5833479,81.24999999999999,94,79,-1
75677,2,2006,3796454,71.2,88,67,-1
70027,1,2018,6277745,96.5,99,94,-1
40667,2,2011,6000754,75.45,98,57,-1
49883,1,2009,3569313,70.8,60,78,-1
84597,1,2009,9633690,60.0,62,56,58
35962,1,2014,9217847,67.30000000000001,75,61,-1
15282,2,2016,3979966,77.45,67,86,-1
67380,1,2001,9260588,87.6,69,100,-1
89372,1,2020,8045060,83.19999999999999,64,96,-1
19696,2,2012,1172472,80.89999999999999,62,66,89
96765,1,2009,5339215,76.30000000000001,97,74,-1
58606,2,2008,6456638,79.4,68,80,-1
56193,2,2020,3704145,78.0,78,78,-1
92048,1,2004,5397555,71.5,64,79,-1
89786,2,2018,8828702,71.0,71,71,-1
30429,1,2004,3161054,97.0,97,97,-1
58088,2,2010,9064510,87.75,81,57,90
48286,2,2014,4927956,90.0,72,57,92
19696,2,2012,9865996,57.0,64,52,54
14231,1,2005,6178578,71.5,81,62,-1
74059,2,2014,2079657,97.3,99,49,97
99478,1,2010,2604650,68.0,84,68,-1
45463,2,2018,3032991,71.25,75,70,-1
97027,1,2018,5645833,63.05,69,62,-1
49990,1,2006,3741868,86.8,66,98,-1
84753,1,2020,9476022,71.9,95,62,-1
78676,1,2006,5374064,82.0,93,82,-1
60330,2,2007,1996770,98.0,79,42,99
15402,2,2007,2207719,75.4,93,71,-1
58088,2,2009,6687933,78.75,75,80,-1
89786,2,2018,6456469,67.80000000000001,95,51,61
14390,1,2006,3404558,66.8,77,65,-1
85553,1,2002,8329501,86.4,81,53,90
62977,2,2008,6757694,87.85000000000001,73,100,-1
36844,2,2015,9010135,69.8,77,69,-1
30041,2,2001,4598824,92.1,66,58,95
78834,2,2002,5796437,74.8,90,74,-1
36032,2,2010,3528110,76.35,77,76,-1
86959,1,2004,2806090,72.0,72,40,72
97631,2,2000,6942519,84.75,96,81,-1
96339,2,2008,2792773,85.2,93,80,-1
79638,2,2006,6681389,82.0,63,82,-1
21415,1,2010,8392413,75.0,87,56,71
27821,1,2002,2331057,84.75,72,89,-1
93003,2,2004,2542564,78.60000000000001,81,78,-1
60330,2,2007,7487570,85.95,85,86,-1
82740,1,2007,9535501,93.0,63,93,-1
71634,1,2018,5868906,54.0,82,65,54
35962,1,2014,8739288,76.7,69,83,-1
27266,2,2014,5819381,68.2,99,55,-1
88812,1,2013,3595311,68.6,86,57,-1
31981,1,2012,9709142,76.75,64,81,-1
27919,2,2008,4151690,74.60000000000001,69,76,-1
95578,2,2011,3328940,88.5,63,56,97
90269,2,2016,1148341,69.4,100,66,-1
62360,2,2003,8395849,80.5,62,99,-1
88430,1,2019,3766356,74.2,82,70,-1
22316,2,2012,8584164,77.0,84,70,-1
37713,2,2018,7425730,99.14999999999999,100,99,-1
30041,2,2015,6860822,66.15,72,63,-1
65998,1,2006,4245949,98.55000000000001,98,99,-1
62574,2,2017,4131852,88.0,64,88,-1
20107,1,2001,7021480,78.80000000000001,90,57,76
92623,2,2005,2500565,65.69999999999999,93,51,-1
51050,1,2015,1124687,70.0,97,67,-1
20107,1,2005,3601347,96.00000000000001,96,96,-1
96268,1,2015,1497560,80.5,92,69,-1
52126,1,2010,7636378,84.0,84,84,-1
71634,2,2003,1185925,81.25,100,75,-1
89372,1,2020,4786943,73.19999999999999,81,68,-1
15270,1,2017,8637754,91.0,91,91,-1
13378,2,2003,1172472,66.0,66,66,-1
40385,1,2018,5492819,70.0,65,70,-1
19565,2,2004,6073928,63.0,84,46,56
42514,2,2006,9599360,79.6,64,90,-1
83995,1,2001,7114608,81.6,85,81,-1
92893,2,2015,4226619,88.4,89,44,88
35978,1,2003,6548677,82.25,78,83,-1
20002,2,2003,9112872,80.5,75,86,-1
88496,1,2007,5248610,60.75,96,49,-1
40385,1,2018,6604179,67.0,70,67,-1
72316,2,2015,4349551,67.8,93,51,-1
85305,2,2018,1565018,74.0,83,73,-1
39024,1,2019,4937046,84.4,100,76,-1
58088,1,2004,2500565,77.8,81,77,-1
45463,2,2018,5374064,82.5,75,85,-1
84597,1,2009,7493307,60.5,71,50,-1
80245,2,2008,7947185,89.5,87,92,-1
89372,2,2019,6073928,73.0,67,77,-1
90269,2,2016,1185925,88.2,63,91,-1
40385,1,2018,7211341,95.0,80,95,-1
33402,2,2019,9788409,80.0,79,80,-1
95578,2,2011,7408615,83.5,82,45,84
10892,2,2005,6563120,88.5,83,93,-1
58088,1,2004,7956671,59.800000000000004,75,57,56
44058,1,2006,5726173,86.8,94,43,85
15270,1,2017,4400774,92.5,99,89,-1
96744,2,2010,2908410,78.75,72,81,-1
84269,1,2015,6953162,65.5,69,64,-1
42713,2,2000,1141682,76.0,96,76,-1
96744,2,2010,8318103,71.0,95,63,-1
94050,1,2015,2316921,92.75,88,62,93
23242,1,2016,5685070,68.7,67,48,69
66390,1,2019,3528110,87.3,95,84,-1
63122,1,2002,3644922,77.3,92,40,71
66081,1,2006,2722131,62.0,81,60,62
30041,2,2001,1732200,94.9,85,96,-1
14390,1,2006,1531264,72.45,92,45,69
59621,2,2003,9361674,93.0,82,93,-1
99715,2,2001,2178373,85.0,85,85,-1
69221,1,2006,4515927,83.2,68,84,-1
20107,1,2001,3766356,73.60000000000001,92,69,-1
37478,1,2002,2016119,82.85,80,46,83
63136,1,2014,9206405,68.75,83,68,-1
88812,1,2013,1498256,79.19999999999999,75,82,-1
51399,2,2000,8877764,74.75,71,76,-1
81573,1,2010,6092570,86.80000000000001,89,85,-1
74023,1,2002,3967614,77.0,100,77,-1
18282,2,2018,5956531,57.15,79,43,56
65674,1,2002,9992866,96.5,98,96,-1
81438,1,2016,2950265,79.80000000000001,63,84,-1
47244,1,2007,9112083,96.10000000000001,79,98,-1
35962,1,2014,5973483,80.5,86,76,-1
62977,2,2008,7523225,81.20000000000002,79,83,-1
21591,2,2002,5648480,56.400000000000006,87,45,53
27821,1,2002,1857195,78.5,92,74,-1
30041,2,2001,3704213,85.7,74,87,-1
84269,1,2015,8845928,92.89999999999999,95,92,-1
61143,2,2005,7441403,76.5,87,40,72
74410,2,2001,5103998,66.35000000000001,79,56,-1
54012,1,2000,1141682,73.4,100,62,-1
39008,2,2002,1146892,76.0,76,76,-1
25603,1,2001,5907258,88.89999999999999,77,94,-1
79007,2,2017,4244212,87.7,76,49,89
39024,1,2019,4484253,77.5,84,74,-1
62360,1,2009,8620836,83.0,66,86,-1
50195,2,2004,1689343,68.85,63,72,-1
89786,2,2018,1192863,68.4,62,50,70
92919,2,2006,5692935,82.0,82,82,-1
13876,1,2014,5771668,85.8,90,84,-1
46361,1,2014,9423861,88.75,93,88,-1
96268,2,2016,5919551,73.8,99,57,-1
49990,1,2006,6563120,61.5,68,58,-1
55150,1,2006,7696244,84.25,97,44,82
47465,2,2009,1857195,77.05,97,76,-1
35497,2,2018,6117523,85.69999999999999,78,89,-1
31981,1,2000,5685070,95.45,81,98,-1
71634,2,2003,9035871,86.25,99,82,-1
84753,1,2020,8678680,80.1,64,54,87
14246,2,2012,2363489,69.5,98,41,-1
10892,2,2004,7711049,71.3,96,70,-1
29684,2,2020,4400774,74.9,63,77,-1
16321,2,2017,4927956,62.2,60,54,64
34701,2,2012,5021219,72.25,86,61,-1
44919,2,2009,3328940,66.6,60,71,-1
79638,2,2006,8877764,71.0,82,71,-1
21591,2,2002,8582049,56.400000000000006,78,52,54
88949,1,2011,7956671,87.5,70,95,-1
37060,2,2019,6942519,88.39999999999999,96,88,-1
95578,2,2020,2500565,80.0,95,40,80
30429,1,2016,9095102,80.60000000000001,87,40,79
27919,2,2008,5669700,86.4,88,86,-1
25826,2,2006,8865503,80.9,89,80,-1
39008,2,2002,7368825,84.4,61,97,-1
51050,1,2015,6553920,70.9,88,69,-1
92048,1,2003,4226619,68.64999999999999,78,45,67
67380,2,2015,5094053,84.3,96,78,-1
11017,2,2006,2901015,100.0,74,100,-1
16321,2,2017,9986120,92.2,90,94,-1
80742,2,2014,6643440,96.0,98,96,-1
18548,1,2003,7522245,67.6,79,67,-1
51050,2,2011,3704145,73.60000000000001,84,71,-1
22316,1,2001,7523605,63.400000000000006,66,57,62
22316,2,2012,2689097,66.5,69,64,-1
71634,2,2003,6643440,66.25,100,53,55
84753,1,2020,1169100,83.6,71,89,-1
79638,2,2006,3779949,77.0,81,53,77
26838,2,2000,6014895,75.75,66,62,79
63891,1,2015,9439696,76.65,97,60,-1
66081,2,2000,2331057,83.05000000000001,88,79,-1
88949,1,2011,2016119,90.79999999999998,88,92,-1
50593,1,2018,7845646,85.4,98,80,-1
62360,1,2009,3047244,61.699999999999996,60,62,-1
35978,1,2003,5811083,80.89999999999999,69,83,-1
96765,1,2009,9933545,97.4,92,98,-1
88812,2,2006,8149388,76.60000000000001,99,71,-1
89786,2,2016,9423861,77.2,85,73,-1
33402,2,2019,9156801,95.0,61,95,-1
96339,1,2014,9013600,64.5,75,49,60
40667,2,2005,4245949,62.699999999999996,95,57,-1
50593,1,2018,6032435,82.19999999999999,64,90,-1
47465,2,2009,1867842,87.25,73,55,88
22316,2,2012,5692935,66.0,64,68,-1
58606,1,2009,4254724,73.5,62,85,-1
85305,2,2018,8314205,69.7,67,70,-1
66081,1,2006,3014953,68.0,84,40,68
55150,1,2010,1892936,65.65,97,40,-1
16321,2,2017,1361465,66.80000000000001,91,47,-1
34701,2,2012,8045060,64.15,90,43,-1
11017,2,2006,7238824,95.0,67,47,95
56193,2,2007,8344758,77.8,89,73,-1
56562,1,2014,1438011,77.25,100,65,-1
35962,1,2014,2270555,84.10000000000001,94,76,-1
39024,1,2019,8062589,82.4,98,74,-1
88496,1,2007,7335969,76.25,86,73,-1
90331,2,2001,1713660,80.4,75,84,-1
18282,2,2013,1346923,75.89999999999999,99,66,-1
58088,2,2009,7042000,64.5,78,60,-1
97027,1,2018,1987819,96.74999999999999,84,99,-1
88812,1,2013,8030661,77.19999999999999,100,62,-1
90331,2,2001,4708238,68.6,62,46,73
58088,1,2004,7454057,84.6,63,90,-1
44919,1,2013,6687933,92.49999999999999,84,94,-1
42780,1,2017,1857195,78.0,82,74,-1
62360,1,2009,2025699,61.3,63,61,-1
65723,2,2001,8722100,87.19999999999999,62,98,-1
40667,2,2011,8637754,81.9,72,90,-1
92048,1,2003,4492818,89.94999999999999,67,94,-1
92893,2,2015,7819441,70.4,98,52,-1
81927,2,2006,6854830,79.1,74,80,-1
58088,1,2004,8314205,90.0,94,89,-1
18282,2,2013,3601347,55.4,68,56,50
75677,2,2006,8995184,89.0,93,88,-1
39024,1,2019,7506163,88.19999999999999,96,84,-1
15282,2,2016,4060223,86.20000000000002,84,88,-1
15588,2,2007,8710449,67.0,63,71,-1
21192,2,2017,1565018,85.0,85,85,-1
88812,1,2013,6602325,67.4,71,65,-1
59621,2,2003,6177937,84.0,95,84,-1
21323,2,2007,2840289,91.49999999999999,82,55,92
58088,2,2020,9010135,95.0,92,95,-1
98403,2,2005,6229972,72.05,78,71,-1
98403,2,2005,2109732,67.1,62,68,-1
82740,1,2007,1748299,62.0,83,52,62
84269,2,2019,1145591,69.3,81,63,-1
66390,2,2009,9969591,99.55,97,100,-1
58088,1,2004,7571892,82.0,98,78,-1
84597,2,2013,6886079,67.0,70,65,-1
30466,1,2008,4290437,91.00000000000001,67,56,97
76309,1,2014,5578043,97.1,80,98,-1
63136,1,2014,4840226,99.4,88,100,-1
31595,1,2010,5726173,83.5,72,95,-1
